Males;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Age?;All Solid;Oesophagus;Stomach;Colon;Liver;Lung;Breast;Ovary;Bladder;Thyroid;Other;Leukaemia (C91-C95);;;;;;;;;;;;;;;;;;;
0-4;9.198875;;;;;;;;;;;5.14965625;;;;;;;;;;;;;;;;;;;
5-9;6.58959375;;;;;;;;;;;4.2914375;;;;;;;;;;;;;;;;;;;
10-14;6.2544375;;;;;;;;;;;2.6425;;;;;;;;;;;;;;;;;;;
15-19;9.0564375;;;;;;;;;;;2.27109375;;;;;;;;;;;;;;;;;;;
20-24;12.13509375;;;;;;;;;;;2.00809375;;;;;;;;;;;;;;;;;;;
25-29;18.9364375;;;;;;;;;;;1.91321875;;;;;;;;;;;;;;;;;;;
30-34;32.68884375;;;;;;;;;;;2.3395;;;;;;;;;;;;;;;;;;;
35-39;55.81615625;;;;;;;;;;;2.8838125;;;;;;;;;;;;;;;;;;;
40-44;108.682125;;;;;;;;;;;4.36478125;;;;;;;;;;;;;;;;;;;
45-49;215.3200313;;;;;;;;;;;6.1425;;;;;;;;;;;;;;;;;;;
50-54;431.8502813;;;;;;;;;;;10.52125;;;;;;;;;;;;;;;;;;;
55-59;776.04675;;;;;;;;;;;15.2889375;;;;;;;;;;;;;;;;;;;
60-64;1274.540969;;;;;;;;;;;24.00209375;;;;;;;;;;;;;;;;;;;
65-69;1578.360938;;;;;;;;;;;30.5111875;;;;;;;;;;;;;;;;;;;
70-74;1963.488313;;;;;;;;;;;38.46796875;;;;;;;;;;;;;;;;;;;
75-79;2155.388063;;;;;;;;;;;40.80709375;;;;;;;;;;;;;;;;;;;
80-84;2097.696906;;;;;;;;;;;37.93725;;;;;;;;;;;;;;;;;;;
85+;1955.365281;;;;;;;;;;;40.81240625;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
