Males;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Age?;All Solid;Oesophagus;Stomach;Colon;Liver;Lung;Breast;Ovary;Bladder;Thyroid;Other;Leukaemia (C91-C95);;;;;;;;;;;;;;;;;;;
0-4;1.574121817;;;;;;;;;;;1.320700618;;;;;;;;;;;;;;;;;;;
5-9;1.374525948;;;;;;;;;;;1.085721977;;;;;;;;;;;;;;;;;;;
10-14;1.345444729;;;;;;;;;;;1.04509388;;;;;;;;;;;;;;;;;;;
15-19;1.756426998;;;;;;;;;;;1.146670072;;;;;;;;;;;;;;;;;;;
20-24;1.647933638;;;;;;;;;;;1.097529951;;;;;;;;;;;;;;;;;;;
25-29;2.507973102;;;;;;;;;;;0.868642714;;;;;;;;;;;;;;;;;;;
30-34;3.52658173;;;;;;;;;;;0.995650174;;;;;;;;;;;;;;;;;;;
35-39;6.225453245;;;;;;;;;;;1.270722622;;;;;;;;;;;;;;;;;;;
40-44;10.04679703;;;;;;;;;;;1.29900132;;;;;;;;;;;;;;;;;;;
45-49;24.12244276;;;;;;;;;;;1.454881955;;;;;;;;;;;;;;;;;;;
50-54;44.12501386;;;;;;;;;;;2.414329649;;;;;;;;;;;;;;;;;;;
55-59;75.34905504;;;;;;;;;;;2.756805774;;;;;;;;;;;;;;;;;;;
60-64;118.5262932;;;;;;;;;;;4.981780503;;;;;;;;;;;;;;;;;;;
65-69;190.7651214;;;;;;;;;;;7.735079533;;;;;;;;;;;;;;;;;;;
70-74;196.4009905;;;;;;;;;;;9.314128451;;;;;;;;;;;;;;;;;;;
75-79;463.1965451;;;;;;;;;;;14.63933034;;;;;;;;;;;;;;;;;;;
80-84;359.3410738;;;;;;;;;;;19.86021968;;;;;;;;;;;;;;;;;;;
85+;625.1617778;;;;;;;;;;;23.02301904;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
