Females;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Age?;All Solid;Oesophagus;Stomach;Colon;Liver;Lung;Breast;Ovary;Bladder;Thyroid;Other;Leukaemia (C91-C95);;;;;;;;;;;;;;;;;;;
0-4;6.77896875;;;;;;;;;;;4.848625;;;;;;;;;;;;;;;;;;;
5-9;4.63628125;;;;;;;;;;;3.29796875;;;;;;;;;;;;;;;;;;;
10-14;5.18896875;;;;;;;;;;;1.88575;;;;;;;;;;;;;;;;;;;
15-19;8.00628125;;;;;;;;;;;1.76315625;;;;;;;;;;;;;;;;;;;
20-24;15.66540625;;;;;;;;;;;1.2575;;;;;;;;;;;;;;;;;;;
25-29;38.7289375;;;;;;;;;;;1.55003125;;;;;;;;;;;;;;;;;;;
30-34;74.743125;;;;;;;;;;;1.8131875;;;;;;;;;;;;;;;;;;;
35-39;125.0819375;;;;;;;;;;;2.27609375;;;;;;;;;;;;;;;;;;;
40-44;198.9539688;;;;;;;;;;;2.903;;;;;;;;;;;;;;;;;;;
45-49;294.2677813;;;;;;;;;;;4.45109375;;;;;;;;;;;;;;;;;;;
50-54;422.5265625;;;;;;;;;;;6.648125;;;;;;;;;;;;;;;;;;;
55-59;573.0510938;;;;;;;;;;;9.52078125;;;;;;;;;;;;;;;;;;;
60-64;786.1429375;;;;;;;;;;;15.04946875;;;;;;;;;;;;;;;;;;;
65-69;814.9493438;;;;;;;;;;;16.61221875;;;;;;;;;;;;;;;;;;;
70-74;994.9335625;;;;;;;;;;;21.608875;;;;;;;;;;;;;;;;;;;
75-79;1015.616344;;;;;;;;;;;21.75409375;;;;;;;;;;;;;;;;;;;
80-84;992.5109688;;;;;;;;;;;18.871875;;;;;;;;;;;;;;;;;;;
85+;875.0761875;;;;;;;;;;;13.29534375;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
