Males;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Age?;All Reason Death (2012 year);All Solid;Oesophagus;Stomach;Colon;Liver;Lung;Breast;Ovary;Bladder;Thyroid;Other;Leukaemia (C91-C95);;;;;;;;;;;;;;;;;;;
0-4;252.13;2.665;;;;;;;;;;;1.8158125;;;;;;;;;;;;;;;;;;;
5-9;32.9;1.85175;;;;;;;;;;;1.0920625;;;;;;;;;;;;;;;;;;;
10-14;35.83;1.85871875;;;;;;;;;;;0.986625;;;;;;;;;;;;;;;;;;;
15-19;110.83;3.30940625;;;;;;;;;;;1.30909375;;;;;;;;;;;;;;;;;;;
20-24;235.84;4.30334375;;;;;;;;;;;1.5025;;;;;;;;;;;;;;;;;;;
25-29;379.92;7.1383125;;;;;;;;;;;1.29359375;;;;;;;;;;;;;;;;;;;
30-34;609.99;14.0803125;;;;;;;;;;;1.5070625;;;;;;;;;;;;;;;;;;;
35-39;746.02;25.50759375;;;;;;;;;;;1.69325;;;;;;;;;;;;;;;;;;;
40-44;852.49;55.34978125;;;;;;;;;;;2.20878125;;;;;;;;;;;;;;;;;;;
45-49;1161.07;125.1064688;;;;;;;;;;;3.332125;;;;;;;;;;;;;;;;;;;
50-54;1610.35;269.291875;;;;;;;;;;;5.8943125;;;;;;;;;;;;;;;;;;;
55-59;2317.73;492.9144688;;;;;;;;;;;8.58709375;;;;;;;;;;;;;;;;;;;
60-64;3348.64;779.4119375;;;;;;;;;;;13.08284375;;;;;;;;;;;;;;;;;;;
65-69;4235.24;1045.500219;;;;;;;;;;;20.5244375;;;;;;;;;;;;;;;;;;;
70-74;6369.36;1303.44325;;;;;;;;;;;25.96021875;;;;;;;;;;;;;;;;;;;
75-79;8700.82;1513.854094;;;;;;;;;;;35.28309375;;;;;;;;;;;;;;;;;;;
80-84;12853.29;1470.839125;;;;;;;;;;;34.95990625;;;;;;;;;;;;;;;;;;;
85+;19606.15;1363.816;;;;;;;;;;;24.65646875;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
