Males;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Age?;All Solid;Oesophagus;Stomach;Colon;Liver;Lung;Breast;Ovary;Bladder;Thyroid;Other;Leukaemia (C91-C95);;;;;;;;;;;;;;;;;;;
0-4;3.352482688;;;;;;;;;;;2.594451228;;;;;;;;;;;;;;;;;;;
5-9;3.671256951;;;;;;;;;;;2.364687932;;;;;;;;;;;;;;;;;;;
10-14;4.361208243;;;;;;;;;;;2.022256228;;;;;;;;;;;;;;;;;;;
15-19;3.321339776;;;;;;;;;;;1.696613615;;;;;;;;;;;;;;;;;;;
20-24;3.629665754;;;;;;;;;;;1.881862221;;;;;;;;;;;;;;;;;;;
25-29;5.250278124;;;;;;;;;;;1.564108827;;;;;;;;;;;;;;;;;;;
30-34;9.180388891;;;;;;;;;;;1.957302838;;;;;;;;;;;;;;;;;;;
35-39;20.50546363;;;;;;;;;;;1.818103276;;;;;;;;;;;;;;;;;;;
40-44;35.80693445;;;;;;;;;;;2.435794915;;;;;;;;;;;;;;;;;;;
45-49;49.34521939;;;;;;;;;;;2.779917157;;;;;;;;;;;;;;;;;;;
50-54;82.47055487;;;;;;;;;;;4.388606383;;;;;;;;;;;;;;;;;;;
55-59;140.5962523;;;;;;;;;;;6.06014915;;;;;;;;;;;;;;;;;;;
60-64;375.3042636;;;;;;;;;;;11.23178636;;;;;;;;;;;;;;;;;;;
65-69;308.8167763;;;;;;;;;;;14.44015753;;;;;;;;;;;;;;;;;;;
70-74;284.0618535;;;;;;;;;;;18.85484846;;;;;;;;;;;;;;;;;;;
75-79;674.6139489;;;;;;;;;;;21.18552845;;;;;;;;;;;;;;;;;;;
80-84;483.0875952;;;;;;;;;;;22.77848657;;;;;;;;;;;;;;;;;;;
85+;606.3886392;;;;;;;;;;;68.0043007;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
